miRNAName,CellLineName,Expression
hsa-miR-892a,NCI-H128,4.03033206797714
hsa-miR-128,NCI-H128,6.92080512708436
hsa-miR-627,NCI-H128,3.64442922218834
hsa-miR-3605-5p,NCI-H128,3.11602821433351
hsa-miR-562,NCI-H128,4.24005581755841
hsa-miR-1323,NCI-H128,4.42312584752176
hsa-miR-938,NCI-H128,2.273512501397
hsa-miR-515-3p,NCI-H128,1.83052269957814
hsa-let-7c,NCI-H128,10.4401070254564
hsa-miR-195-5p,NCI-H128,8.67520595128109
hsa-miR-140-5p,NCI-H128,8.31878707558541
hsa-miR-302b-3p,NCI-H128,3.11602821433351
hsa-miR-335-5p,NCI-H128,11.6121085947909
hsa-miR-590-5p,NCI-H128,8.04622849207641
hsa-miR-1245b-5p,NCI-H128,3.64442922218834
hsa-miR-337-5p,NCI-H128,3.78484896166228
hsa-miR-27b-3p,NCI-H128,12.9613085511109
hsa-miR-302d-3p,NCI-H128,6.51981546486709
hsa-miR-1238,NCI-H128,2.88589600479019
hsa-miR-449c-5p,NCI-H128,3.48885384125031
hsa-miR-29c-3p,NCI-H128,8.20464839279321
hsa-miR-95,NCI-H128,12.8082460192604
hsa-miR-1226-3p,NCI-H128,4.73154120735076
hsa-miR-485-5p,NCI-H128,3.11602821433351
hsa-miR-892b,NCI-H128,3.64442922218834
hsa-miR-524-3p,NCI-H128,2.88589600479019
hsa-miR-581,NCI-H128,2.61195566004437
hsa-miR-574-5p,NCI-H128,6.69022660272011
hsa-miR-770-5p,NCI-H128,3.91280552866387
hsa-miR-3190-5p,NCI-H128,0
hsa-miR-2277-3p,NCI-H128,2.273512501397
hsa-miR-563,NCI-H128,2.273512501397
hsa-miR-15a-5p,NCI-H128,14.2489622269712
hsa-miR-302f,NCI-H128,6.02051281131744
hsa-miR-197-3p,NCI-H128,9.45171856858106
hsa-miR-28-3p,NCI-H128,7.28242011544509
hsa-miR-1205,NCI-H128,2.61195566004437
hsa-miR-338-5p,NCI-H128,3.11602821433351
hsa-miR-4458,NCI-H128,3.48885384125031
hsa-miR-142-5p,NCI-H128,2.273512501397
hsa-miR-544a,NCI-H128,3.64442922218834
hsa-miR-548k,NCI-H128,4.42312584752176
hsa-miR-450a-5p,NCI-H128,8.080697815813
hsa-miR-516a-3p,NCI-H128,3.3144510055279
hsa-miR-339-3p,NCI-H128,3.3144510055279
hsa-miR-1257,NCI-H128,2.88589600479019
hsa-miR-412,NCI-H128,2.61195566004437
hsa-miR-622,NCI-H128,2.88589600479019
hsa-miR-218-5p,NCI-H128,8.69313998617844
hsa-miR-192-5p,NCI-H128,4.42312584752176
hsa-miR-646,NCI-H128,3.64442922218834
hsa-miR-129-2-3p,NCI-H128,2.88589600479019
hsa-miR-1288,NCI-H128,3.3144510055279
hsa-miR-3175,NCI-H128,1.18797644026313
hsa-miR-1286,NCI-H128,3.11602821433351
hsa-miR-132-3p,NCI-H128,9.31363084289614
hsa-miR-100-5p,NCI-H128,4.58555940454668
hsa-miR-889,NCI-H128,1.83052269957814
hsa-miR-802,NCI-H128,3.91280552866387
hsa-miR-141-3p,NCI-H128,12.2722964868216
hsa-miR-582-3p,NCI-H128,4.33449270830144
hsa-miR-1,NCI-H128,1.83052269957814
hsa-miR-762,NCI-H128,3.48885384125031
hsa-miR-153,NCI-H128,4.13900151955247
