experiment_id,nsc,highest_tested_concentration,cell_line,log_ec50,response_zero,response_inflection,hill_slope,log_ic50
1267,19893,1.00E-05,NCI-H1048,-6.106319683,35.54558189,104.0531503,-1.461347102,-5.661921294
176,752,1.00E-05,NCI-H1048,-5.827638839,18.09575334,99.82994458,-2.783905323,-5.712733532
254,755,1.00E-05,NCI-H1048,-5.986587279,20.93363291,98.91601327,-3.595648202,-5.885089771
332,762,1.00E-05,NCI-H1048,-6.820130818,5.612983209,97.1531812,-2.211180857,-6.785881176
3445,102816,1.00E-05,NCI-H1048,-5.721427957,32.26845512,101.6375029,-1.649499615,-5.417693652
4848,127716,1.00E-05,NCI-H1048,-6.34564877,31.22191726,103.1729769,-0.629107433,-5.611763593
1967,34462,1.00E-05,NCI-H1048,-6.17805794,5.107213768,100.579447,-1.516796997,-6.143549622
7978,613327,1.00E-05,NCI-H1048,-8.424217228,1.40482163,89.74562641,-4.46867091,-8.51653652
566,3088,1.00E-05,NCI-H1048,-5.924209088,8.39863887,97.47411604,-2.474534793,-5.877466858
1423,25154,1.00E-05,NCI-H1048,-5.515512219,5.736560798,99.46430884,-2.070159019,-5.496699802
4926,138783,1.00E-05,NCI-H1048,-5.410165963,11.59716202,102.0464248,-6.057111169,-5.281306066
6721,312887,1.00E-05,NCI-H1048,-5.724112283,9.699133001,99.23537864,-1.686481505,-5.66798941
8913,681239,1.00E-05,NCI-H1048,-8.267383859,-0.096799127,104.3540511,-5.733967591,-8.178406367
17817,756645,1.00E-05,NCI-H1048,-5.824913543,34.70732833,102.5082318,-2.838458421,-5.581154071
10774,732517,1.00E-05,NCI-H1048,-5.050462706,8.326658766,95.84612719,-1.320106308,-5.021281479
12565,754230,1.00E-05,NCI-H1048,-8.842160427,8.111485536,159.9340641,-2.448586697,-8.59686712
11626,747973,1.00E-05,NCI-H1048,-8.295363085,1.633289215,101.3288578,-2.635600482,-8.26158978
4135,123127,1.00E-05,NCI-H1048,-7.839651422,0.201588931,96.34871142,-2.363826399,-7.848608114
11315,745750,1.00E-05,NCI-H1048,-5.109524514,-32.98520519,106.19468,-1.883167587,-5.226765215
8052,616348,1.00E-05,NCI-H1048,-6.453772902,3.4829567,97.11614839,-1.448188507,-6.453163299
3908,122819,1.00E-05,NCI-H1048,-8.04906136,1.145562418,96.51203835,-2.110549674,-8.070048955
6410,246131,1.00E-05,NCI-H1048,-7.234264526,0.418301085,100.8967524,-2.84922799,-7.205040808
10852,733504,1.00E-05,NCI-H1048,-4.503714489,-370.6346797,55.31153973,-1.96238576,-5.475287208
4692,125066,1.00E-05,NCI-H1048,-5.514365697,-12.43823879,89.38520797,-1.347718146,-5.68539752
7188,608210,1.00E-05,NCI-H1048,-7.192181534,3.972527917,78.86611672,-4.407953659,-7.233666813
722,8806,1.00E-05,NCI-H1048,-5.778020651,8.602656461,100.5281415,-2.590015062,-5.72253554
11392,747599,1.00E-05,NCI-H1048,-5.248792106,-1.292478878,103.0989084,-2.938200656,-5.239228281
7421,609699,1.00E-05,NCI-H1048,-8.351896135,0.690215461,94.49398616,-2.235654055,-8.385330743
4136,123127,1.00E-05,NCI-H1048,-7.905284581,0.799567906,96.21227917,-2.43422816,-7.937465659
7422,609699,1.00E-05,NCI-H1048,-8.270979851,0.953588768,95.18267488,-2.373882285,-8.270104412
4137,123127,1.00E-05,NCI-H1048,-7.868354256,0.836623465,96.7530496,-2.310261909,-7.88485858
7423,609699,1.00E-05,NCI-H1048,-8.405114253,1.011967358,101.0052781,-2.208782579,-8.412679964
5525,180973,0.0002,NCI-H1048,-5.47156388,-0.631914593,100.0746055,-5.760494871,-5.407272237
4140,123127,1.00E-05,NCI-H1048,-8.01798908,1.229093969,96.78861586,-2.62949525,-8.046925381
5527,180973,0.0002,NCI-H1048,-5.476617803,-0.630465453,98.15764208,-6.131950367,-5.411725391
5528,180973,0.0002,NCI-H1048,-5.191974367,-0.444564521,97.5060122,-3.59951207,-5.242788386
4142,123127,1.00E-05,NCI-H1048,-8.116688077,0.582754445,94.45065997,-2.252923764,-8.136338225
7428,609699,1.00E-05,NCI-H1048,-8.396267397,0.936282287,96.07298616,-2.172933736,-8.428580251
4143,123127,1.00E-05,NCI-H1048,-8.080973339,0.985084746,94.80072059,-2.491424612,-8.104195763
5530,180973,0.0002,NCI-H1048,-5.330605466,-0.190086374,97.85393409,-4.933916675,-5.361152922
16093,755769,1.00E-05,NCI-H1048,-4.913233077,-19.16211319,100.2925482,-1.13766686,-5.041499415
24850,759675,1.00E-05,NCI-H1048,-6.229405507,32.71599526,98.95199708,-4.588223592,-6.07270603
24928,759676,1.00E-05,NCI-H1048,-6.98117137,6.703135499,102.5407286,-1.370921251,-6.920989704
27581,761387,1.00E-05,NCI-H1048,-5.456198287,32.54786244,97.58710929,-1.203384265,-5.077936575
19847,757148,1.00E-05,NCI-H1048,-6.333212705,-1.192350671,100.1426182,-1.49759282,-6.330178513
20647,757441,1.00E-05,NCI-H1048,-6.302671994,30.32741078,102.1145985,-2.459521632,-6.085503541
26491,761070,1.00E-05,NCI-H1048,-5.500110856,38.55295979,99.08044282,-1.514379587,-5.058065416
29219,762382,1.00E-05,NCI-H1048,-7.335020242,-4.584380784,125.8390606,-0.437579388,-7.006412961
29691,762673,1.00E-05,NCI-H1048,-7.354177137,-0.280230261,99.54261837,-2.683762375,-7.341944222
8598,649890,1.00E-05,NCI-H1048,-7.145166654,-0.387722585,106.1943485,-2.518731288,-7.123961233
17659,756643,1.00E-05,NCI-H1048,-7.501412603,7.88028467,98.80805436,-3.818558754,-7.521512897
18755,756658,1.00E-05,NCI-H1048,-5.362168619,-0.232742774,97.80058762,-5.401483784,-5.300609201
19070,756662,1.00E-05,NCI-H1048,-6.704134677,40.14253115,99.08717039,-1.252512388,-6.10002367
22503,758257,1.00E-05,NCI-H1048,-8.273488067,15.83502891,109.6055272,-1.872850625,-8.10815959
24614,759660,1.00E-05,NCI-H1048,-6.7012145,9.581681375,101.8594065,-0.935014097,-6.582079434
26569,761188,1.00E-05,NCI-H1048,-5.736861766,17.3769362,100.2549437,-2.245473115,-5.639679856
13271,754352,1.00E-05,NCI-H1048,-6.434243008,-0.513278026,94.53539271,-2.421518684,-6.47001998
14134,754364,1.00E-05,NCI-H1048,-6.005929058,8.631434731,115.4955167,-3.579098478,-5.944289549
21173,758007,1.00E-05,NCI-H1048,-4.646115409,-159.902449,98.73909223,-1.073560719,-5.279502679
10618,722134,1.00E-05,NCI-H1048,-4.028559586,-114.181401,96.69775798,-0.412840622,-5.36209852
13587,754356,1.00E-05,NCI-H1048,-5.729816348,2.708212709,100.1533985,-3.382704164,-5.714487156
13666,754357,1.00E-05,NCI-H1048,-2.52376398,-1593.429799,99.22932705,-0.539877688,-5.37094329
14525,755385,1.00E-05,NCI-H1048,-6.531688608,1.731880323,102.9275106,-0.852813363,-6.486387127
17188,755983,1.00E-05,NCI-H1048,-8.32408991,3.611481032,95.18860341,-6.053389183,-8.298318492
21880,758250,1.00E-05,NCI-H1048,-9.080087324,45.27856555,192.7776347,-1.223592416,-7.866547512
22815,758487,1.00E-05,NCI-H1048,-5.554687734,-37.3395978,100.5911154,-0.754832451,-5.873989324
26804,761191,1.00E-05,NCI-H1048,-5.402655605,0.74293801,98.17514685,-4.251573059,-5.354095406
28751,762151,1.00E-05,NCI-H1048,-7.011374408,1.702167359,111.7997351,-1.144433675,-6.91825063
